"date","overseas","interstate","local_contact","local_unknown","under_investigation"
2020-01-28,1,0,0,0,0
2020-01-29,0,0,0,0,0
2020-01-30,1,0,0,0,0
2020-01-31,0,0,0,0,0
2020-02-01,0,0,0,0,0
2020-02-02,0,0,0,0,0
2020-02-03,0,0,0,0,0
2020-02-04,0,0,2,0,0
2020-02-05,0,0,0,0,0
2020-02-06,0,0,1,0,0
2020-02-07,0,0,0,0,0
2020-02-08,0,0,0,0,0
2020-02-09,0,0,0,0,0
2020-02-10,0,0,0,0,0
2020-02-11,0,0,0,0,0
2020-02-12,0,0,0,0,0
2020-02-13,0,0,0,0,0
2020-02-14,0,0,0,0,0
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,2,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,1,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,1,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,2,0,0,0,0
2020-03-03,1,0,0,0,0
2020-03-04,1,0,0,0,0
2020-03-05,1,0,0,0,0
2020-03-06,1,0,0,0,0
2020-03-07,0,0,0,0,0
2020-03-08,0,0,1,0,0
2020-03-09,1,0,1,0,0
2020-03-10,3,0,0,0,0
2020-03-11,7,1,1,0,0
2020-03-12,8,0,2,0,0
2020-03-13,10,1,4,2,0
2020-03-14,13,0,2,2,0
2020-03-15,4,0,3,1,0
2020-03-16,23,0,2,0,0
2020-03-17,22,1,11,0,0
2020-03-18,19,0,1,1,0
2020-03-19,33,0,4,0,0
2020-03-20,53,0,6,0,0
2020-03-21,49,0,8,1,0
2020-03-22,45,0,13,0,0
2020-03-23,48,1,9,0,0
2020-03-24,55,0,9,1,0
2020-03-25,53,2,3,1,0
2020-03-26,54,1,10,0,0
2020-03-27,51,2,6,2,0
2020-03-28,32,2,12,1,0
2020-03-29,24,0,6,2,0
2020-03-30,21,0,6,0,0
2020-03-31,27,0,6,2,0
2020-04-01,21,1,8,2,0
