Date,Total,NSW,VIC,QLD,WA,SA,TAS,ACT,NT
2020-01-25,4,3,1,0,0,0,0,0,0
2020-01-26,4,3,1,0,0,0,0,0,0
2020-01-27,5,4,1,0,0,0,0,0,0
2020-01-28,5,4,1,0,0,0,0,0,0
2020-01-29,9,4,3,2,0,0,0,0,0
2020-01-30,9,4,3,2,0,0,0,0,0
2020-01-31,9,4,3,2,0,0,0,0,0
2020-02-01,10,4,4,2,0,0,0,0,0
2020-02-02,12,4,4,2,0,2,0,0,0
2020-02-03,12,4,4,2,0,2,0,0,0
2020-02-04,13,4,4,3,0,2,0,0,0
2020-02-05,14,4,4,4,0,2,0,0,0
2020-02-06,15,4,4,5,0,2,0,0,0
2020-02-07,15,4,4,5,0,2,0,0,0
2020-02-08,15,4,4,5,0,2,0,0,0
2020-02-09,15,4,4,5,0,2,0,0,0
2020-02-10,15,4,4,5,0,2,0,0,0
2020-02-11,15,4,4,5,0,2,0,0,0
2020-02-12,15,4,4,5,0,2,0,0,0
2020-02-13,15,4,4,5,0,2,0,0,0
2020-02-14,15,4,4,5,0,2,0,0,0
2020-02-15,15,4,4,5,0,2,0,0,0
2020-02-16,15,4,4,5,0,2,0,0,0
2020-02-17,15,4,4,5,0,2,0,0,0
2020-02-18,15,4,4,5,0,2,0,0,0
2020-02-19,15,4,4,5,0,2,0,0,0
2020-02-20,15,4,4,5,0,2,0,0,0
2020-02-21,19,4,4,7,1,3,0,0,0
2020-02-22,20,4,4,8,1,3,0,0,0
2020-02-23,20,4,4,8,1,3,0,0,0
2020-02-24,20,4,4,8,1,3,0,0,0
2020-02-25,20,4,4,8,1,3,0,0,0
2020-02-26,20,4,4,8,1,3,0,0,0
2020-02-27,23,4,7,8,1,3,0,0,0
2020-02-28,25,4,7,9,2,3,0,0,0
2020-02-29,25,4,7,9,2,3,0,0,0
2020-03-01,28,5,9,9,2,3,0,0,0
2020-03-02,32,9,9,9,2,3,0,0,0
2020-03-03,40,15,9,10,2,3,1,0,0
2020-03-04,51,22,10,11,2,5,1,0,0
2020-03-05,59,25,10,13,3,7,1,0,0
2020-03-06,63,28,10,14,3,7,1,0,0
2020-03-07,73,36,11,14,3,7,2,0,0
2020-03-08,80,40,12,15,4,7,2,0,0
2020-03-09,92,47,15,15,6,7,2,0,0
2020-03-10,112,60,19,18,6,7,2,0,0
2020-03-11,127,64,22,20,9,9,3,0,0
2020-03-12,157,77,28,27,9,12,3,1,0
2020-03-13,198,91,37,35,14,16,4,1,0
2020-03-14,249,111,50,46,17,19,5,1,0
2020-03-15,297,133,58,61,18,20,6,1,0
2020-03-16,376,171,71,68,28,29,7,2,0
2020-03-17,454,210,94,78,31,32,7,2,0
2020-03-18,567,267,121,94,35,37,10,3,0
2020-03-19,709,307,150,144,52,42,10,4,0
2020-03-20,876,382,178,184,64,50,10,6,2
2020-03-21,1072,436,229,221,90,67,16,9,4
2020-03-22,1353,533,296,259,120,100,22,19,4
2020-03-23,1681,669,355,319,140,134,28,32,4
2020-03-24,2051,818,411,397,175,170,36,39,5
2020-03-25,2431,1029,466,443,205,197,42,44,5
2020-03-26,2805,1219,520,493,231,235,47,53,7
2020-03-27,3168,1405,574,555,255,257,58,62,13
2020-03-28,3640,1617,685,625,278,287,62,71,15
2020-03-29,3984,1791,769,656,311,299,66,77,15
2020-03-30,4250,1918,821,689,355,305,69,78,15
2020-03-31,4561,2032,917,743,364,337,69,80,19
2020-04-01,4864,2182,968,781,392,367,71,84,19
2020-04-02,5136,2298,1036,835,400,385,74,87,21
2020-04-03,5358,2389,1085,873,422,396,80,91,22
2020-04-04,5552,2493,1115,900,436,407,82,93,26
2020-04-05,5693,2580,1135,907,453,409,86,96,27
2020-04-06,5800,2637,1158,921,460,411,89,96,28
2020-04-07,5919,2686,1191,934,470,415,98,97,28
2020-04-08,6024,2734,1212,943,481,420,107,99,28
2020-04-09,6109,2773,1228,953,495,421,111,100,28
2020-04-10,6215,2822,1241,965,506,428,122,103,28
2020-04-11,6303,2857,1265,974,514,429,133,103,28
2020-04-12,6325,2854,1268,983,517,429,144,102,28
2020-04-13,6366,2863,1281,987,523,431,150,103,28
2020-04-14,6415,2870,1291,998,527,433,165,103,28
2020-04-15,6449,2886,1299,999,532,433,169,103,28
2020-04-16,6479,2897,1301,1001,535,434,180,103,28
2020-04-17,6526,2926,1302,1007,541,435,184,103,28
2020-04-18,6568,2936,1319,1015,544,435,188,103,28
2020-04-19,6610,2957,1328,1019,545,435,195,103,28
2020-04-20,6623,2963,1329,1019,545,435,200,104,28
2020-04-21,6645,2969,1336,1024,546,437,201,104,28
2020-04-22,6652,2971,1336,1024,546,438,205,104,28
2020-04-23,6660,2976,1337,1026,546,438,205,104,28
2020-04-24,6677,2982,1343,1026,548,438,207,105,28
2020-04-25,6695,2994,1346,1026,549,438,208,106,28
2020-04-26,6714,3002,1349,1030,549,438,212,106,28
2020-04-27,6721,3004,1349,1033,549,438,214,106,28
2020-04-28,6733,3009,1351,1033,550,438,218,106,28
2020-04-29,6746,3016,1354,1034,551,438,219,106,28
2020-04-30,6754,3016,1361,1033,551,438,221,106,28
2020-05-01,6766,3025,1364,1033,551,438,221,106,28
2020-05-02,6782,3031,1371,1034,551,438,221,106,30
2020-05-03,6800,3035,1384,1035,551,438,221,106,30
2020-05-04,6824,3033,1406,1038,551,438,221,107,30
2020-05-05,6850,3035,1423,1043,551,438,223,107,30
2020-05-06,6874,3042,1440,1043,551,438,223,107,30
2020-05-07,6895,3044,1454,1045,551,439,225,107,30
2020-05-08,6912,3047,1467,1045,552,439,225,107,30
2020-05-09,6926,3051,1477,1045,552,439,225,107,30
2020-05-10,6938,3053,1487,1045,552,439,225,107,30
2020-05-11,6945,3053,1494,1045,552,439,225,107,30
2020-05-12,6967,3053,1509,1051,553,439,225,107,30
2020-05-13,6979,3059,1514,1052,553,439,225,107,30
2020-05-14,6993,3063,1523,1052,554,439,225,107,30
2020-05-15,7024,3071,1543,1054,554,439,226,107,30
